rank_order,rank,name,scores_overall,scores_overall_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
558,501-600,Montana State University,0.0,558,48.0,419,43.0,306,23.5,662,21.8,411,17.7,730,United States,"12,331",17.8,4%,46 : 54,Montana State University,"Chemical Engineering,Architecture,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Medicine & Dentistry,Sociology,Chemistry,Mathematics & Statistics,Electrical & Electronic Engineering,Other Health,Veterinary Science,Psychology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Physics & Astronomy,Business & Management,Agriculture & Forestry,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Computer Science,Sport Science,History, Philosophy & Theology,Accounting & Finance,General Engineering",False,False
565,501-600,New Jersey Institute of Technology,0.0,565,32.2,549,32.2,560,48.5,363,16.6,530,18.9,672,United States,"10,646",26.2,17%,25 : 75,New Jersey Institute of Technology,"Civil Engineering,Other Health,Electrical & Electronic Engineering,History, Philosophy & Theology,Physics & Astronomy,Chemical Engineering,Chemistry,General Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Geography,Architecture,Geology, Environmental, Earth & Marine Sciences,Business & Management,Art, Performing Arts & Design,Communication & Media Studies,Law,Computer Science,Biological Sciences,Mathematics & Statistics,Psychology",False,False
566,501-600,New Mexico State University (Main campus),0.0,566,47.2,423,34.6,483,30.5,585,19.2,465,19.5,645,United States,"15,035",18.8,7%,54 : 46,New Mexico State University (Main campus),"Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Chemistry,Politics & International Studies (incl Development Studies),Geography,Computer Science,Electrical & Electronic Engineering,Civil Engineering,Other Health,Mathematics & Statistics,Sociology,Communication & Media Studies,Chemical Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Sport Science,Psychology,Agriculture & Forestry,Biological Sciences,General Engineering,Economics & Econometrics,Medicine & Dentistry,Mechanical & Aerospace Engineering,Business & Management,Art, Performing Arts & Design,Education,Physics & Astronomy",False,False
567,501-600,University of North Carolina at Greensboro,0.0,567,43.1,465,28.9,689,17.4,737,15.3,566,18.2,711,United States,"16,446",19.2,2%,66 : 34,University of North Carolina at Greensboro,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Art, Performing Arts & Design,Law,Sociology,Biological Sciences,Geography,Economics & Econometrics,Medicine & Dentistry,Psychology,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Physics & Astronomy,Languages, Literature & Linguistics,Chemistry,Archaeology,Accounting & Finance,Sport Science,Business & Management,Other Health",False,False
568,501-600,Oklahoma State University,0.0,568,33.1,545,33.7,508,25.6,643,22.7,385,27.5,390,United States,"21,270",21.4,7%,49 : 51,Oklahoma State University,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Psychology,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Archaeology,Business & Management,Politics & International Studies (incl Development Studies),Chemistry,Civil Engineering,Agriculture & Forestry,History, Philosophy & Theology,Architecture,Education,Other Health,Geography,Sport Science,Computer Science,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Sociology,Physics & Astronomy",False,False
576,501-600,Portland State University,0.0,576,43.3,463,44.6,283,31.6,565,14.4,601,16.8,759,United States,"20,398",22.2,8%,54 : 46,Portland State University,"Business & Management,General Engineering,Geography,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Education,Politics & International Studies (incl Development Studies),Economics & Econometrics,Biological Sciences,Psychology,Accounting & Finance,Civil Engineering,Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Sport Science,Architecture,Other Health,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Communication & Media Studies,Archaeology,Computer Science,Chemistry,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy",False,False
592,501-600,University of Texas at Arlington,0.0,592,50.9,398,33.4,517,50.3,341,10.1,731,20.1,627,United States,"29,396",10.5,10%,60 : 40,University of Texas at Arlington,"Mathematics & Statistics,Economics & Econometrics,Biological Sciences,Psychology,Other Health,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Business & Management,Civil Engineering,Accounting & Finance,Sociology,Sport Science,Agriculture & Forestry,Languages, Literature & Linguistics,Architecture,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Chemistry,General Engineering",False,False
595,501-600,University of Toledo,0.0,595,29.9,577,32.9,534,37.7,488,13.4,624,31.6,304,United States,"19,465",17.5,9%,50 : 50,University of Toledo,"Mechanical & Aerospace Engineering,Sociology,Economics & Econometrics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Other Health,Languages, Literature & Linguistics,Mathematics & Statistics,Art, Performing Arts & Design,Law,Chemistry,Medicine & Dentistry,Accounting & Finance,Chemical Engineering,Civil Engineering,History, Philosophy & Theology,Psychology,Electrical & Electronic Engineering,Computer Science,Politics & International Studies (incl Development Studies),Geography,Biological Sciences,Education,General Engineering,Business & Management",False,False
597,501-600,The University of Tulsa,0.0,597,24.6,622,71.7,115,43.8,419,12.9,635,29.7,345,United States,"4,597",12.5,25%,43 : 57,The University of Tulsa,"Computer Science,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Psychology,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,General Engineering,Chemistry,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Sport Science,Sociology,Biological Sciences",False,False
600,501-600,University of Wisconsin-Milwaukee,0.0,600,45.5,442,29.0,684,26.0,635,13.8,610,17.3,746,United States,"22,542",18.4,5%,52 : 48,University of Wisconsin-Milwaukee,"Accounting & Finance,Mathematics & Statistics,Art, Performing Arts & Design,Geography,Computer Science,Languages, Literature & Linguistics,General Engineering,Chemistry,Business & Management,Sociology,Civil Engineering,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Other Health,Electrical & Electronic Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Psychology,Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Education,History, Philosophy & Theology,Architecture,Sport Science",False,False
632,601-800,"California State University, Long Beach",0.0,632,23.3,636,0.0,770,18.9,717,10.4,718,11.6,799,United States,"29,594",32.3,5%,58 : 42,"California State University, Long Beach","History, Philosophy & Theology,General Engineering,Chemistry,Mechanical & Aerospace Engineering,Geography,Biological Sciences,Civil Engineering,Electrical & Electronic Engineering,Business & Management,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Education,Chemical Engineering,Sociology,Economics & Econometrics,Other Health,Mathematics & Statistics,Accounting & Finance,Communication & Media Studies,Physics & Astronomy",False,False
650,601-800,Clemson University,0.0,650,27.0,603,35.8,455,34.6,526,19.7,451,21.4,583,United States,"19,198",17.1,8%,46 : 54,Clemson University,"Geography,History, Philosophy & Theology,Sociology,Economics & Econometrics,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Psychology,Business & Management,Accounting & Finance,Physics & Astronomy,Civil Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Computer Science,Languages, Literature & Linguistics,General Engineering,Education,Mathematics & Statistics,Veterinary Science,Other Health,Architecture,Agriculture & Forestry",False,False
671,601-800,Florida Institute of Technology,0.0,671,24.6,620,33.4,515,62.4,230,13.5,621,20.4,617,United States,"4,408",13.7,26%,34 : 66,Florida Institute of Technology,"Computer Science,Sport Science,Sociology,Chemical Engineering,Mechanical & Aerospace Engineering,Other Health,Law,Civil Engineering,Agriculture & Forestry,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,General Engineering,Physics & Astronomy,Education,Chemistry,Business & Management,Biological Sciences",False,False
708,601-800,Miami University,0.0,708,36.1,523,30.2,640,24.8,653,15.7,555,19.2,662,United States,"16,370",20.5,7%,53 : 47,Miami University,"Accounting & Finance,Chemistry,Economics & Econometrics,Business & Management,Chemical Engineering,Communication & Media Studies,Medicine & Dentistry,Psychology,History, Philosophy & Theology,Education,Biological Sciences,Geography,Other Health,Architecture,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Sociology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy",False,False
725,601-800,Oakland University,0.0,725,21.9,650,30.3,638,23.3,665,11.9,660,18.1,717,United States,"14,584",19.8,2%,60 : 40,Oakland University,"Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Geography,Law,Psychology,History, Philosophy & Theology,Archaeology,Computer Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Veterinary Science,Mechanical & Aerospace Engineering,Business & Management,Chemistry,Chemical Engineering,Architecture,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Sociology,Electrical & Electronic Engineering,Other Health,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Sport Science,Politics & International Studies (incl Development Studies),Education,Art, Performing Arts & Design",False,False
727,601-800,Ohio University (Main campus),0.0,727,24.6,621,30.1,643,33.6,540,14.9,576,25.0,467,United States,"22,224",20.0,9%,50 : 50,Ohio University (Main campus),"Psychology,Accounting & Finance,Chemistry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Biological Sciences,Business & Management,General Engineering,Languages, Literature & Linguistics,Sociology,Mathematics & Statistics,Communication & Media Studies,Medicine & Dentistry,Economics & Econometrics,History, Philosophy & Theology,Physics & Astronomy,Sport Science,Chemical Engineering,Geography,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Other Health",False,False
741,601-800,Rochester Institute of Technology,0.0,741,25.1,616,30.4,630,29.8,592,13.4,623,17.4,741,United States,"12,965",13.5,13%,34 : 66,Rochester Institute of Technology,"Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Physics & Astronomy,Medicine & Dentistry,Business & Management,Communication & Media Studies,Mathematics & Statistics,Psychology,Other Health,Languages, Literature & Linguistics,Chemistry,General Engineering,Civil Engineering,Sociology,Computer Science,History, Philosophy & Theology,Sport Science,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics",False,False
763,601-800,University of Southern Mississippi,0.0,763,20.1,675,39.9,369,20.8,694,11.8,666,21.0,601,United States,"14,569",18.5,3%,63 : 37,University of Southern Mississippi,"Accounting & Finance,Biological Sciences,Architecture,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sport Science,Psychology,Education,Sociology,Communication & Media Studies,Art, Performing Arts & Design,Physics & Astronomy,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,General Engineering,Chemical Engineering,Business & Management,Chemistry,Geography,History, Philosophy & Theology,Other Health,Law,Languages, Literature & Linguistics",False,False
772,601-800,University of Texas at El Paso,0.0,772,18.4,687,0.0,796,30.4,588,18.7,476,18.6,685,United States,"19,123",29.0,7%,54 : 46,University of Texas at El Paso,"Physics & Astronomy,Accounting & Finance,Sport Science,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Economics & Econometrics,Sociology,Education,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Other Health,Geography,Electrical & Electronic Engineering,Civil Engineering,General Engineering,Languages, Literature & Linguistics,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Psychology,Agriculture & Forestry,Communication & Media Studies,Business & Management",False,False
773,601-800,Texas Tech University,0.0,773,22.0,649,0.0,797,36.8,498,17.2,519,27.9,383,United States,"29,512",20.9,7%,46 : 54,Texas Tech University,"Sociology,Archaeology,Accounting & Finance,Art, Performing Arts & Design,Communication & Media Studies,Geography,Mathematics & Statistics,Education,Architecture,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,History, Philosophy & Theology,Biological Sciences,Law,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Agriculture & Forestry,Sport Science,Civil Engineering,Business & Management",False,False
